Prey_gene_name	IQR
Acf4	Inf
Adr1	Inf
Cdc3	Inf
Ecm1	Inf
Gcd10	Inf
Gcd14	Inf
Hpm1	Inf
Hrp1	Inf
Kri1	Inf
Lcp5	Inf
Mae1	Inf
Pup2	Inf
Reh1	Inf
Rgr1	Inf
Spa2	Inf
Spb1	Inf
Srp54	Inf
Srp68	Inf
Swi1	Inf
Tdh1	Inf
Tti1	Inf
Yar1	Inf
Rna1	6.85676774459698
Cmr1	5.29695680704814
Vps71	5.2490311234802
Srp1	4.609978676415368
Rpc37	4.04141627320918
Kap120	3.23967017554825
Pol2	3.2304958377089497
Kap95	3.045335224479422
Rix7	2.93231305727378
Yef3	2.8517310017863937
Rpb8	2.620669131269943
Gpn3	2.585850414353841
Rea1	2.555434144359003
Paa1	2.5481282494737627
Apa1	2.534929438842308
Eno1	2.4877899791661013
Srm1	2.455822002876459
Scj1	2.4389811228246683
Rtp1	2.43791940630823
Tub3	2.3448515770288476
Idh2	2.301963964664049
Idh1	2.197352307251629
Tub2	2.189490764151726
Aro9	2.1725222639528203
Krr1	2.166912847451076
Cia2	2.1361074165864635
Ade5,7	2.1278926936269595
Ura7	2.0811192880561604
Afg2	2.020741826085099
Yap1	2.0061798754435016
Hef3	2.0030114743158247
Hsp60	1.9865704188088094
Rpa135	1.978615461842328
Vps1	1.9765147968578811
Rvb2	1.964525675647836
Yrb30	1.9624496539513978
Dep1	1.9316613740337951
San1	1.9182865539666825
Frs1	1.9074484320487817
Rpc31	1.90146601518171
Oca1	1.8986258541990235
Mtc1	1.8877754181320134
Yrb1	1.8714602011313088
Ptc3	1.84670177121021
Sdd3	1.8433201679322897
Dbp2	1.804498355763988
Tub1	1.785115243231928
Rpl39	1.7839234670344801
Swc5	1.779793443129096
Ugp1	1.7714604097735445
Tif4631	1.7709371779313101
Aim36	1.7707412404054639
Dbp3	1.764961729940912
Pln1	1.730805200513779
Rpl37a	1.728888401066088
Svf1	1.724124078483103
Thi20	1.722747811864465
Mcm6	1.697726649207646
Npa3	1.696306076579366
Krs1	1.677821572034028
Siw14	1.6759443874958893
Cbf5	1.6746563630677422
Zuo1	1.674518643201631
Rvb1	1.649588710229539
Wtm1	1.6471242235997063
Vps13	1.6425240795650167
Cdc14	1.639283840991344
Dpb4	1.638185049356046
Yku70	1.6251689432574778
Fun12	1.6201821684393751
Pwp1	1.6101708657176141
Rpc34	1.6051868839448298
Aco1	1.601014790258172
Spt8	1.5942224351779881
Orc1	1.583386112054453
Pse1	1.583056690013216
Pdi1	1.5736200042250301
Rpa190	1.568092449829828
Sum1	1.563541202182503
Yku80	1.5580830618830999
Mph1	1.554712281454599
Rpl26a	1.554543402820377
Taf2	1.51137876571266
Net1	1.508907442211094
Msh2	1.507362304155741
Egd1	1.488357865505342
Rpl29	1.472860751572774
Hmo1	1.4680575833138887
Tdh3	1.4650763553389723
Azf1	1.458165288281522
Nop2	1.44721530231316
Rps0b	1.4404039927353187
Rpc82	1.4340238949789101
Ssa1	1.4296939224022225
Gbp2	1.418568571893947
Lcl2	1.418483530873667
Rpp1a	1.405312109038691
Mgm101	1.3982692378049302
Gfa1	1.3919331173664466
Grs1	1.3826068645234342
Mcm4	1.380959672837572
Puf6	1.3769232241654858
Rpl10	1.3741062882123116
Tra1	1.371042040576175
Pro3	1.370095475488136
Nop4	1.3549598278394819
Tfc3	1.3547409287866972
Spt20	1.349761227128547
Rpl3	1.339331931717378
Rpl33b	1.328977954915354
Cdc9	1.32528744405364
Ubp15	1.32004298412092
Rpc11	1.313849854018217
Rpo21	1.311606556584119
Rlp24	1.310782580567934
Skn7	1.3096149757392253
Hsp42	1.3051236695110018
Cys4	1.3045050790133672
Orc2	1.2962905382839123
Hca4	1.2927069902801163
Ree1	1.2872233067249057
Ssz1	1.269944357946436
Yta7	1.2682968718334302
Pre6	1.2629105596661951
Gtr2	1.2557002107030555
Hal5	1.24866654697082
Rpb4	1.2427101889768666
Nop6	1.241578887674162
Rpc25	1.23378204842742
Muk1	1.2337794881448023
Caf40	1.229320710521521
Aat1	1.226456799340781
Msh3	1.2259248739789208
Spt5	1.220050192246507
Rok1	1.219094713620169
Swr1	1.20933768259157
Irc20	1.20495417880358
Rpp2a	1.199053481435568
Rim1	1.195982052628081
Hpc2	1.1930594291532939
Mcm5	1.1908432498805301
Rpl15a	1.190654486555407
Rpa49	1.190449803081147
Ret1	1.1774704340381
Tkl2	1.1730657868231749
Hst1	1.1642000014529441
Rpl9a	1.162029091876787
Elo1	1.1614212816992708
Rtg3	1.1571867846850168
Rfm1	1.15226381913436
Gdh1	1.1397452065775877
Sry1	1.128953053383722
Chd1	1.12206445034429
Top2	1.1080969372655598
Rpl31b	1.106029735547784
Cst6	1.1051645523865141
Rpl36a	1.100367836801415
Rpl4a	1.095321491207552
Abf2	1.0901229140915298
Rpb5	1.08931760264523
Spt7	1.081960366040823
Orc4	1.0802165664137402
Sin3	1.076244093598934
Rpo31	1.07321302716175
Nur1	1.0696709776359774
Rpb10	1.0567013130159901
Sko1	1.0564753936987399
Rpp2b	1.0561107279264221
Rpo26	1.05342763200183
Vps72	1.05161643329759
Rpl30	1.042246618316131
Hri1	1.0355115390770795
Nop10	1.0286777871355361
Pdr1	1.0259098670441003
Ald4	1.02520543881695
Yra1	1.0250283986330229
Nip7	1.0242118572552517
Prp43	1.0224774176690974
Rtt106	1.0175271448886816
Hir2	1.01677104271662
Arp5	1.016198578450429
Itc1	1.0161240599471097
Rpc40	1.01476111976657
Ade3	1.0144273940122106
Hho1	1.0053291532574307
Rpl5	0.9994235543249019
Stm1	0.998194062493451
Reb1	0.998157491096183
Ioc4	0.9942383418645769
Asg1	0.9940587948814401
Ioc3	0.993705280248424
Msn1	0.9922482953383697
Adh6	0.9903463412734812
Rpc19	0.9863504607588298
Rpc53	0.9835271550464599
Adh3	0.9817721094398034
Rbg1	0.9800671132990384
Raf1	0.979903615963115
Orc3	0.9799020967428699
Rfc1	0.9606258956211897
Srl2	0.9564767064471011
Rpl24a	0.9558938418218732
Top1	0.9545435290469799
Rpl6b	0.9544017815492121
Isw1	0.9450938655286598
Sth1	0.943641077572174
Nhp2	0.938757914727559
Egd2	0.926311442481756
Npl6	0.9003524622705619
Rps29a	0.8993413172617519
Taf9	0.8912302908746742
Gar1	0.889372655738912
Rsc4	0.8873350579737149
Snf2	0.882180550835771
Taf14	0.8764882517313399
Grx1	0.8725461258603421
Rpl8b	0.8688741294617879
Rsc6	0.86537009483296
Mog1	0.8558666509329
Rsc9	0.844488638508591
Rsc3	0.8422312632350649
Gcd1	0.8341534228925802
Rfc2	0.8304014305687499
Swi3	0.8295292269372301
Ies5	0.8180849672120689
Ioc2	0.81551585779801
Imh1	0.807392463412223
Oye2	0.8049730523763441
Ies1	0.8002409094640301
Nhp10	0.7926617521600201
Arp9	0.787314163562038
Spt16	0.7661173750443802
Sfh1	0.7610827057561251
Htb2	0.761034807039886
Enp2	0.760794151252143
Taf10	0.7595642956805846
Bur6	0.7558664962135689
Isw2	0.753425142871748
Rsc2	0.7480393997100001
Taf5	0.744044778712355
Ies3	0.73650481857449
Rpb11	0.735198199302476
Arp8	0.72777205873283
Rtt102	0.725573424064715
Cdc1	0.7230628546037093
Pob3	0.6914482608406798
Htz1	0.683053278716104
Spt15	0.680908698689026
Rsc58	0.674953164292585
Hir1	0.6390866793342598
Rfc3	0.6165961598422521
Hos3	0.6127750623866111
Mot1	0.61049082807036
Rsc8	0.6070058928526441
Arp4	0.6030895788926001
Pre2	0.6012984136538815
Ies2	0.5993985998470501
Arp7	0.54787793986747
Rpc10	0.544084603125455
Ant1	0.5438152428504692
Abf1	0.543502913747544
Thi7	0.52250647665616
Lsm6	0.5135446726440239
Rfc5	0.4914186750754359
Hir3	0.48615369827572974
Srp14	0.48106360679408
Rco1	0.45206643736803204
Rfc4	0.42949693575034
Aim14	0.374682757975712
Sis1	0.32810380878300005
Aah1	NA
Aim41	NA
Arl3	NA
Cfd1	NA
Gcn3	NA
Lrs4	NA
Opi1	NA
Rad5	NA
Rpl21b	NA
Rrp8	NA
Rrs1	NA
Sen1	NA
Slx9	NA
Smc2	NA
Snf12	NA
Snf5	NA
Spp41	NA
Stb4	NA
Sti1	NA
Sub1	NA
Tif4632	NA
